,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,1,ACLBSL,919,-18,-1.92,915.2,919,911.1,357,937,,1,ACLBSL,-,915.2,919,911.1,919,919,0,0,916.3,357,937,"327,120.10",16,-18,7.9,-1.92,0.87,0.29,961.66,963.09,"1,157.00",827.9,
,,2,ADBL,302.2,-1.8,-0.59,304,305,299.7,"121,643.00",304,,2,ADBL,-,304,305,299.7,302.2,302.2,0,0,300.41,"121,643.00",304,"36,543,087.00",298,-1.8,5.3,-0.59,1.77,0.59,311.68,308.07,340,285.2,
,,3,ADBLD83,"1,030.00",15,1.48,"1,030.00","1,030.00","1,030.00",50,"1,015.00",,3,ADBLD83,-,"1,030.00","1,030.00","1,030.00","1,030.00","1,030.00",0,0,"1,030.00",50,"1,015.00","51,500.00",1,15,0,1.48,0,0,"1,077.15","1,085.61","1,132.90","1,015.00",
,,4,AHL,419,-1.5,-0.36,415,419,410.5,738,420.5,,4,AHL,-,415,419,410.5,419,419,0,0,413.17,738,420.5,"304,919.60",25,-1.5,8.5,-0.36,2.07,1.39,485.08,516.1,699,405,
,,5,AHPC,263.4,-1.5,-0.57,266,266,263.2,"47,294.00",264.9,,5,AHPC,-,266,266,263.2,263.4,263.4,0,0,264,"47,294.00",264.9,"12,485,481.40",170,-1.5,2.8,-0.57,1.06,-0.23,279.48,277.94,323.3,250.1,
,,6,AKJCL,355.5,-4.5,-1.25,345,368,345,"188,646.00",360,,6,AKJCL,-,345,368,345,355.5,355.5,0,0,359,"188,646.00",360,"67,723,412.90",466,-4.5,23,-1.25,6.67,-0.98,378.41,328.12,461.4,172.9,
,,7,AKPL,252,-1.2,-0.47,253,253.6,250.7,"60,461.00",253.2,,7,AKPL,-,253,253.6,250.7,252,252,0,0,251.66,"60,461.00",253.2,"15,215,479.00",218,-1.2,2.9,-0.47,1.16,0.14,268.96,263.14,317,227.5,
,,8,ALBSL,"1,094.50",-28.4,-2.53,"1,080.00","1,164.90","1,079.00","3,739.00","1,122.90",,8,ALBSL,-,"1,080.00","1,164.90","1,079.00","1,094.50","1,094.50",0,0,"1,101.18","3,739.00","1,122.90","4,117,329.50",93,-28.4,85.9,-2.53,7.96,-0.61,"1,120.08","1,125.28","1,334.00",930,
,,9,ALICL,421.6,1.6,0.38,416.3,421.6,416.3,"14,256.00",420,,9,ALICL,-,416.3,421.6,416.3,421.6,421.6,0,0,418.72,"14,256.00",420,"5,969,332.30",80,1.6,5.3,0.38,1.27,0.68,449.64,456.45,507,413.4,
,,10,ANLB,"5,310.00",-10,-0.19,"5,200.00","5,325.00","5,200.00",699,"5,320.00",,10,ANLB,-,"5,200.00","5,325.00","5,200.00","5,310.00","5,310.00",0,0,"5,239.27",699,"5,320.00","3,662,252.40",37,-10,125,-0.19,2.4,1.33,"6,137.43","6,137.87","7,560.00","5,200.00",
,,11,APHL,782,-23,-2.86,799,805,781,"9,719.00",805,,11,APHL,-,799,805,781,782,782,0,0,795.72,"9,719.00",805,"7,733,637.50",259,-23,24,-2.86,3.07,-1.75,0,0,"1,053.40",299.7,
,,12,API,332.6,-0.3,-0.09,332.9,335.1,330.1,"118,215.00",332.9,,12,API,-,332.9,335.1,330.1,332.6,332.6,0,0,332.1,"118,215.00",332.9,"39,259,197.60",406,-0.3,5,-0.09,1.51,0.15,338.93,322.86,370,258.8,
,,13,AVYAN,"1,069.00",-6,-0.56,"1,075.00","1,075.00","1,040.00","1,685.00","1,075.00",,13,AVYAN,-,"1,075.00","1,075.00","1,040.00","1,069.00","1,069.00",0,0,"1,059.03","1,685.00","1,075.00","1,784,467.00",39,-6,35,-0.56,3.37,0.93,"1,088.89","1,046.73","1,366.00",906,
,,14,BANDIPUR,700.8,7.3,1.05,693,705,692,"19,050.00",693.5,,14,BANDIPUR,-,693,705,692,700.8,700.8,0,0,698.74,"19,050.00",693.5,"13,311,040.70",425,7.3,13,1.05,1.88,0.29,823.15,827.02,"1,233.00",285,
,,15,BARUN,316.2,-3.8,-1.19,320,323,316.2,"20,750.00",320,,15,BARUN,-,320,323,316.2,316.2,316.2,0,0,318,"20,750.00",320,"6,598,518.30",119,-3.8,6.8,-1.19,2.15,-0.57,342.95,341.47,401.5,292.1,
,,16,BBC,"4,089.00",9,0.22,"4,197.90","4,197.90","4,072.00",210,"4,080.00",,16,BBC,-,"4,197.90","4,197.90","4,072.00","4,089.00","4,089.00",0,0,"4,115.34",210,"4,080.00","864,221.00",16,9,125.9,0.22,3.09,-0.64,"4,581.64","4,679.04","5,600.00","3,825.00",
,,17,BEDC,316.9,-2.5,-0.78,317,319,314.3,"8,609.00",319.4,,17,BEDC,-,317,319,314.3,316.9,316.9,0,0,315.26,"8,609.00",319.4,"2,714,056.20",75,-2.5,4.7,-0.78,1.5,0.52,396.23,447.27,774.9,303.1,
