,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,1,ACLBSL,878,-12,-1.35,875.1,888,875.1,856,890,,1,ACLBSL,31.21,875.1,888,875.1,878,878,0,0,879.11,856,890,"752,521.00",17,-12,12.9,-1.35,1.47,-0.13,940.59,950.07,"1,095.00",827.9,
,,2,ADBL,311,-2.9,-0.92,313.9,314,310.5,"39,944.00",313.9,,2,ADBL,40.21,313.9,314,310.5,311,311,0,0,311.63,"39,944.00",313.9,"12,447,888.60",131,-2.9,3.5,-0.92,1.13,-0.2,309.54,307.53,340,285.2,
,,3,AHL,392,-8,-2,388,397.8,379.1,"3,559.00",400,,3,AHL,45.72,388,397.8,379.1,392,392,0,0,384.09,"3,559.00",400,"1,366,979.00",46,-8,18.7,-2,4.93,2.02,457.82,487.27,699,343,
,,4,AHPC,266.2,-4.4,-1.63,270,270.6,266,"70,853.00",270.6,,4,AHPC,28.24,270,270.6,266,266.2,266.2,0,0,267.41,"70,853.00",270.6,"18,946,996.00",260,-4.4,4.6,-1.63,1.73,-0.46,272.38,275.14,323.3,245.8,
,,5,AKJCL,358,-6.8,-1.86,368,368,354,"479,494.00",364.8,,5,AKJCL,47.22,368,368,354,358,358,0,0,360.75,"479,494.00",364.8,"172,978,748.20",977,-6.8,14,-1.86,3.95,-0.77,371.32,348.42,461.4,179,
,,6,AKPL,251.6,-6.1,-2.37,257,258.2,251.6,"68,925.00",257.7,,6,AKPL,26.25,257,258.2,251.6,251.6,251.6,0,0,253.89,"68,925.00",257.7,"17,499,667.00",238,-6.1,6.6,-2.37,2.62,-0.91,262.24,263.92,317,231.1,
,,7,ALBSL,"1,194.00",2,0.17,"1,174.00","1,208.00","1,174.00","19,673.00","1,192.00",,7,ALBSL,30.66,"1,174.00","1,208.00","1,174.00","1,194.00","1,194.00",0,0,"1,188.38","19,673.00","1,192.00","23,378,965.30",81,2,34,0.17,2.9,0.47,"1,115.42","1,131.67","1,334.00",930,
,,8,ALICL,427,-12.6,-2.87,435,436,424,"42,464.00",439.6,,8,ALICL,46.75,435,436,424,427,427,0,0,428.25,"42,464.00",439.6,"18,185,348.90",161,-12.6,12,-2.87,2.83,-0.29,438.73,449.14,505,381.4,
,,9,ANLB,"4,937.90",-42,-0.84,"4,903.00","4,937.90","4,900.00",684,"4,979.90",,9,ANLB,32.24,"4,903.00","4,937.90","4,900.00","4,937.90","4,937.90",0,0,"4,901.40",684,"4,979.90","3,352,555.20",18,-42,37.9,-0.84,0.77,0.74,"5,865.42","5,984.60","7,560.00","4,750.00",
,,10,APHL,661.3,-23.6,-3.45,670,682,660.3,"9,359.00",684.9,,10,APHL,32.84,670,682,660.3,661.3,661.3,0,0,668.04,"9,359.00",684.9,"6,252,189.80",150,-23.6,21.7,-3.45,3.29,-1.02,0,0,"1,053.40",299.7,
,,11,API,334,-4.9,-1.45,338,338.9,333.3,"233,494.00",338.9,,11,API,26.99,338,338.9,333.3,334,334,0,0,335.47,"233,494.00",338.9,"78,329,551.60",689,-4.9,5.6,-1.45,1.68,-0.44,339.41,328.83,370,269,
,,12,AVYAN,"1,059.00",8.7,0.83,"1,038.00","1,059.00","1,037.00",879,"1,050.30",,12,AVYAN,38.74,"1,038.00","1,059.00","1,037.00","1,059.00","1,059.00",0,0,"1,051.02",879,"1,050.30","923,844.00",25,8.7,22,0.83,2.12,0.75,"1,079.54","1,053.05","1,366.00",906,
,,13,BANDIPUR,639,-16,-2.44,651,666,631,"32,909.00",655,,13,BANDIPUR,39.88,651,666,631,639,639,0,0,641.87,"32,909.00",655,"21,123,375.30",377,-16,35,-2.44,5.55,-0.45,765.81,821.58,"1,233.00",285,
,,14,BARUN,329,-6,-1.79,318.3,335.8,318.3,"54,580.00",335,,14,BARUN,34.96,318.3,335.8,318.3,329,329,0,0,329.41,"54,580.00",335,"17,979,025.80",191,-6,17.5,-1.79,5.5,-0.12,333.67,339.25,401.5,298,
,,15,BBC,"4,052.00",-50,-1.22,"4,111.00","4,177.00","4,052.00",743,"4,102.00",,15,BBC,29.31,"4,111.00","4,177.00","4,052.00","4,052.00","4,052.00",0,0,"4,107.65",743,"4,102.00","3,051,983.00",36,-50,125,-1.22,3.08,-1.37,"4,431.11","4,573.11","5,600.00","3,825.00",
,,16,BEDC,307,-8.9,-2.82,315,315,306,"31,883.00",315.9,,16,BEDC,46.37,315,315,306,307,307,0,0,308.4,"31,883.00",315.9,"9,832,797.60",152,-8.9,9,-2.82,2.94,-0.46,352.55,412.22,728,270,
,,17,BFC,444,-12,-2.63,451,459.8,444,"22,648.00",456,,17,BFC,27.73,451,459.8,444,444,444,0,0,449.43,"22,648.00",456,"10,178,594.50",128,-12,15.8,-2.63,3.56,-1.22,482.33,480.92,562,418,
,,18,BGWT,487.1,-2.9,-0.59,465.5,498,465.5,"6,489.00",490,,18,BGWT,34.53,465.5,498,465.5,487.1,487.1,0,0,492.99,"6,489.00",490,"3,199,024.10",65,-2.9,32.5,-0.59,6.98,-1.21,613.74,666.53,944,435,
,,19,BHCL,559,19.1,3.54,539.9,579.9,531.2,"114,073.00",539.9,,19,BHCL,46.67,539.9,579.9,531.2,559,559,0,0,553.65,"114,073.00",539.9,"63,156,074.20",733,19.1,48.7,3.54,9.17,0.96,534.62,546.65,699,394,
