Ticker,Open,High,Low,Close,Change,Pct,AMOUNT,advance,decline,unchanged,RSI,WMA,DPO,SEB,DC,Ichimuku cloud,Date,strength
NEPSE,2585.04,2679.9,2610.45,2633.62,48.58,1.844609321,8.29M,297,12,3,58.46,33.89,-7.9,2528,2652,Below cloud ( Bearish),Sep 15 2026,105.62
Banking subIndex,1460.51,1515.39,1472.3,"1,488.36",27.85,1.871187078,1.17B,19,0,0,67.66,44.54,28.6,1435,1459,above cloud ( Bullish),Sep 15 2026,53.36
Development Bank Index,5397.46,5553.33,5447.2,"5,494.54",97.08,1.766844904,453.62M,16,0,0,51.67,32.79,-84.73,5333,5636,Below cloud ( Bearish),Sep 15 2026,161.54
Finance Index,2230.54,2308.15,2247.09,"2,280.33",49.79,2.183455903,269.82M,12,1,0,47.44,26.08,-92.29,2190.53,2374,Below cloud ( Bearish),Sep 15 2026,89.8
Hotels And Tourism Index,7085.85,7435.28,7122.79,"7,186.66",100.81,1.40273785,188.57M,8,0,0,51.92,36.71,-97,6974,7469,inside cloud ( Neutral),Sep 15 2026,212.66
HydroPower Index,3583,3720.65,3613.02,"3,648.98",65.98,1.808176532,3.63B,106,4,1,54.47,36.78,-64,3464,3698,Below cloud ( Bearish),Sep 15 2026,184.98
Investment Index,96,100.87,97.18,98.42,2.42,2.458849827,561.95M,7,0,0,63.23,39.41,1.56,93.89,93.9,Below cloud ( Bearish),Sep 15 2026,4.53
Life Insurance,11464.2,11983.04,11607.77,"11,761.61",297.41,2.528650414,231.58M,14,0,0,61.02,28.19,-10,1113.3,11972,Below cloud ( Bearish),Sep 15 2026,10648.31
Manufacturing And Processing,10596.82,10900.04,10636.93,"10,679.31",82.49,0.772428181,1.12B,13,4,0,59.22,49.77,258,10532,10763,above cloud ( Bullish),Sep 15 2026,147.31
Microfinance Index,4469.38,4646.58,4507.33,"4,547.63",78.25,1.720676484,287.31M,46,3,0,59.25,31.26,0.51,4381.12,4619,Below cloud ( Bearish),Sep 15 2026,166.51
Mutual Fund,19.44,19.63,19.41,19.63,0.19,0.967906266,8.99M,32,0,2,31.34,21.9,-1.27,19.23,20.74,Below cloud ( Bearish),Sep 15 2026,0.4
Non Life Insurance,9565.18,9928.39,9682.6,"9,835.84",270.66,2.751773107,128.58M,13,0,0,46.61,23.66,-716,9150,9685,Below cloud ( Bearish),Sep 15 2026,685.84
Others Index,1816.11,1885.85,1835.62,"1,854.80",38.69,2.085939185,146.22M,9,0,0,49.16,30.3,-68,1771,1982,Below cloud ( Bearish),Sep 15 2026,83.8
Trading Index,3268.36,3686.36,3234.76,"3,298.63",30.27,0.917653693,16.85M,2,0,0,55.31,40.22,-11,3197,3466,Below cloud ( Bearish),Sep 15 2026,101.63
