Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-09-24,131,NABIL,Nabil Bank Limited,566,570,566,569,70749,40205031.3,565,581,485,2026-09-24T14:59:43.037274,569,495,568.27,153954.32
2,2026-09-24,132,NIMB,Nepal Investment Mega Bank Limited,192.5,195.2,190,194.6,110035,21225155.6,192.5,232.5,181,2026-09-24T14:59:48.166319,194.6,306,192.89,66414.25
3,2026-09-24,133,SCB,Standard Chartered Bank Limited,655,660,655,657.2,7152,4710729.3,655.2,712.6,603,2026-09-24T14:59:58.585285,657.2,65,658.65,65998.45
4,2026-09-24,134,HBL,Himalayan Bank Limited,195,196.9,192,195.5,73193,14262676.6,197,237,183,2026-09-24T14:59:56.388511,195.5,514,194.86,44147.15
5,2026-09-24,135,SBI,Nepal SBI Bank Limited,403,406.8,402,404.2,4876,1969632,407,441,368,2026-09-24T14:58:35.304432,404.2,43,403.94,45816.57
6,2026-09-24,137,EBL,Everest Bank Limited,699,699.8,695,697.4,31186,21749419.1,696.8,760.2,619,2026-09-24T14:59:53.973574,697.4,150,697.4,100477.52
7,2026-09-24,139,NICA,NIC Asia Bank Ltd.,317,318.9,315.1,316.3,40945,12960158.3,317,411,302.9,2026-09-24T14:59:24.531403,316.3,167,316.52,47184.26
8,2026-09-24,140,MBL,Machhapuchhre Bank Limited,257,260,256.3,258.5,174021,44976285.8,258,284,205,2026-09-24T14:59:57.004796,258.5,353,258.45,31242.86
9,2026-09-24,141,LSL,Laxmi Sunrise Bank Limited,250,252,243,250,554274,137754858.1,245.9,253.9,203,2026-09-24T14:59:48.619306,250,673,248.53,66952.91
10,2026-09-24,142,KBL,Kumari Bank Limited,225,227,222.2,226,369479,83332212.4,225,256,176,2026-09-24T14:59:35.947579,226,621,225.53,59270.45
11,2026-09-24,145,SBL,Siddhartha Bank Limited,457,458,456,456.8,175735,80327678.1,457,460,320.5,2026-09-24T14:59:47.886621,456.8,519,457.09,67581.18
12,2026-09-24,147,SHL,Soaltee Hotel Limited,515.1,520.9,512,518,36250,18782577.6,517.6,559.8,464,2026-09-24T14:59:54.375307,518,120,518.14,60872.9
13,2026-09-24,148,TRH,Taragaon Regency Hotel Limited,802.1,816.9,799,813.9,17450,14035483,813.9,867,681.1,2026-09-24T14:58:20.76049,813.9,36,804.32,15969.7
14,2026-09-24,149,OHL,Oriental Hotels Limited,644.8,649,637,638,590,377620,637,785,590,2026-09-24T14:17:48.569282,638,12,640.03,7557.08
15,2026-09-24,152,NHPC,National Hydro Power Company Limited,265,268,263,265.5,205784,54723694.7,267,340,179.7,2026-09-24T14:59:55.066599,265.5,389,265.92,6548.39
16,2026-09-24,153,BPCL,Butwal Power Company Limited,672,688,668.1,676,31941,21566313.3,674.9,819,612,2026-09-24T14:59:58.091746,676,146,675.19,23045.28
17,2026-09-24,154,CHCL,Chilime Hydropower Company Limited,336.8,359,336.8,352,83523,29468158.8,354.5,525,344,2026-09-24T14:59:59.535816,352,314,352.81,33387.16
18,2026-09-24,155,STC,Salt Trading Corporation,5412,5563,5412,5563,1185,6470208,5499,6335.9,4997.1,2026-09-24T14:59:58.947095,5563,27,5460.09,19536.43
